City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2163355,Hobart,AU,-42.8794,147.3294,55.26,50,40,19.57
6201424,Mataura,NZ,-46.1927,168.8643,49.62,90,89,6.4
3883457,Lebu,CL,-37.6167,-73.65,47.68,87,3,14.43
3984997,San Quintín,MX,30.4833,-115.95,68.94,80,0,5.44
5855927,Hilo,US,19.7297,-155.09,74.93,83,90,4.61
3893629,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,3.44
3874787,Punta Arenas,CL,-53.15,-70.9167,53.71,66,75,25.32
1498087,Nadym,RU,65.5333,72.5167,36.88,98,100,8.43
3356832,Henties Bay,NA,-22.116,14.2845,52.57,93,0,3.96
1784239,Ningxiang,CN,37.34,111.2052,72.64,32,1,14.07
5848280,Kapaa,US,22.0752,-159.319,79.12,78,90,13.8
5563839,Fortuna,US,40.5982,-124.1573,56.32,94,1,10.36
6165406,Thompson,CA,55.7435,-97.8558,32.16,93,40,2.3
4513583,Hamilton,US,39.1834,-84.5333,67.77,92,20,0.0
1519924,Kushmurun,KZ,52.4503,64.6311,44.87,61,8,8.19
3369157,Cape Town,ZA,-33.9258,18.4232,52.21,66,0,11.5
5106841,Albany,US,42.6001,-73.9662,57.52,91,99,5.82
4034551,Faanui,PF,-16.4833,-151.75,79.3,69,10,11.16
3366880,Hermanus,ZA,-34.4187,19.2345,51.06,70,84,9.78
2015306,Tiksi,RU,71.6872,128.8694,38.86,65,99,10.83
1633419,Padang,ID,-0.9492,100.3543,87.85,72,32,5.17
4035715,Avarua,CK,-21.2078,-159.775,77.05,88,75,8.05
3792379,Santa Rosa del Sur,CO,7.9644,-74.0544,68.43,96,100,2.42
1276621,Begamganj,IN,23.6,78.3333,81.12,79,19,6.98
2618795,Klaksvík,FO,62.2266,-6.589,52.72,84,100,22.73
5866583,Saint Paul Harbor,US,57.79,-152.4072,43.63,55,6,25.12
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,68.41,80,77,7.65
2512989,Palma de Mallorca,ES,39.5694,2.6502,66.0,88,20,8.05
3980125,Villa Unión,MX,23.2,-106.2333,80.56,89,75,0.0
2075265,Busselton,AU,-33.65,115.3333,65.71,54,0,10.8
1262534,Multai,IN,21.7667,78.25,78.4,82,78,10.07
3576994,Cockburn Town,TC,21.4612,-71.1419,83.07,78,67,18.72
3466704,Castro,BR,-24.7911,-50.0119,68.76,52,6,1.61
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,79.32,83,79,5.32
2110227,Butaritari,KI,3.0707,172.7902,83.3,71,77,14.36
5122534,Jamestown,US,42.097,-79.2353,66.11,82,1,12.66
3833367,Ushuaia,AR,-54.8,-68.3,46.06,76,75,3.44
1717787,Catuday,PH,16.2923,119.8062,83.64,71,12,7.09
3424607,Tasiilaq,GL,65.6145,-37.6368,35.76,80,98,6.98
305268,Kütahya,TR,39.4242,29.9833,57.15,51,47,3.67
4129397,Russellville,US,35.2784,-93.1338,78.94,73,1,0.0
3336897,La Rioja,ES,42.25,-2.5,46.18,96,69,4.14
5282297,Bethel,US,41.3712,-73.414,58.89,88,1,4.61
3691324,Tocache,PE,-8.1842,-76.5125,72.59,83,53,0.16
2156643,Mount Gambier,AU,-37.8333,140.7667,53.51,71,90,19.57
2155415,New Norfolk,AU,-42.7826,147.0587,54.9,78,96,5.59
5880054,Barrow,US,71.2906,-156.7887,32.02,80,90,20.71
4032243,Vaini,TO,-21.2,-175.2,73.56,83,40,21.45
1028434,Quelimane,MZ,-17.8786,36.8883,58.95,100,0,0.0
136399,Delījān,IR,33.9905,50.6838,77.0,16,0,1.97
359792,Aswān,EG,24.0934,32.907,81.7,21,0,5.75
3414079,Olafsvik,IS,64.8945,-23.7142,44.6,84,100,14.05
3920244,Chulumani,BO,-16.4096,-67.5263,62.94,94,95,1.39
215668,Kabalo,CD,-6.05,26.9167,77.58,55,17,1.28
3347019,Mossamedes,AO,-15.1961,12.1522,60.48,86,6,2.93
2122090,Pevek,RU,69.7008,170.3133,29.19,74,98,4.52
1226260,Trincomalee,LK,8.5711,81.2335,86.97,63,85,13.91
1006984,East London,ZA,-33.0153,27.9116,56.34,50,0,14.97
2038482,Bamiantong,CN,44.9333,130.5333,59.47,94,100,9.06
2365560,Palimé,TG,6.9,0.6333,70.88,98,51,1.32
3981391,Tomatlán,MX,19.9333,-105.25,73.87,94,30,2.82
2206939,Bluff,NZ,-46.6,168.3333,50.2,81,79,15.05
178443,Wajir,KE,1.7471,40.0573,76.59,63,2,17.13
6185377,Yellowknife,CA,62.456,-114.3525,43.32,100,75,8.05
3448903,São João da Barra,BR,-21.6403,-41.0511,72.05,88,61,17.16
3529510,Ejutla de Crespo,MX,16.5667,-96.7333,65.23,89,74,2.26
3460344,Jacobina,BR,-11.1806,-40.5183,63.61,96,93,3.62
964432,Port Alfred,ZA,-33.5906,26.891,58.8,62,74,18.41
2388614,Boda,CF,4.3189,17.4695,68.83,96,94,2.8
2020838,Lensk,RU,60.7253,114.9278,60.26,56,88,4.72
2017155,Saskylakh,RU,71.9167,114.0833,36.7,81,90,7.18
1106677,Bambous Virieux,MU,-20.3428,57.7575,71.85,56,20,8.05
1171376,Malakwal,PK,32.5536,73.2123,90.43,57,46,6.69
3421765,Nanortalik,GL,60.1432,-45.2371,36.86,70,1,17.49
4036284,Alofi,NU,-19.0595,-169.9187,75.09,88,0,9.22
2963295,Killybegs,IE,54.6333,-8.45,54.21,92,99,6.98
935215,Saint-Philippe,RE,-21.3585,55.7679,71.19,70,91,12.68
5905393,Bonavista,CA,48.6499,-53.1147,35.6,71,15,12.46
1735106,George Town,MY,5.4112,100.3354,78.75,89,40,4.61
3467445,Cantagalo,BR,-21.9811,-42.3681,64.85,91,97,2.39
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,81,90,14.97
3831208,Qaanaaq,GL,77.484,-69.3632,11.97,72,50,10.22
212360,Kongolo,CD,-5.3833,27.0,76.91,56,86,2.68
7281807,Seddon,AU,-37.8068,144.8916,54.41,56,75,17.27
4030556,Rikitea,PF,-23.1203,-134.9692,74.1,74,5,12.71
3932145,Pisco,PE,-13.7,-76.2167,62.65,77,0,2.3
3372964,Lagoa,PT,39.05,-27.9833,69.51,78,11,13.78
1649150,Bengkulu,ID,-3.8004,102.2655,81.03,82,88,7.65
3446692,Tatuí,BR,-23.3556,-47.8569,78.1,46,58,0.29
760584,Rawa Mazowiecka,PL,51.7644,20.2549,36.01,77,57,9.31
3421719,Narsaq,GL,60.9167,-46.05,32.22,48,0,5.44
780687,Berlevåg,NO,70.8578,29.0864,37.4,76,52,30.76
2980080,Saint-François,FR,46.4154,3.9054,54.84,100,90,5.75
2381334,Atar,MR,20.5169,-13.0499,84.07,26,0,9.98
2092164,Lorengau,PG,-2.0226,147.2712,84.07,64,68,3.58
1819729,Hong Kong,HK,22.2855,114.1577,87.91,67,59,3.98
2121385,Severo-Kuril'sk,RU,50.6789,156.125,50.54,81,14,31.05
6111862,Port Hardy,CA,50.6996,-127.4199,53.78,94,90,9.22
